,крупный,мелкий,средний,octant,кластер
surface/digits_add,-18.16,5.04,-5.5,−+−,2
surface/punct_add,-1.28,27.31,-8.25,0+−,2
surface/typos,-0.74,6.69,3.57,0++,2
syntax/burst_1to4,3.67,6.05,1.27,++0,2
burst_flatten,2.53,6.77,0.87,0+0,2
surface/caps_terms,3.31,8.19,8.98,+++,2
vocab/top10,-42.35,71.3,-59.71,−+−,3
vocab/top25,-34.16,52.89,-54.61,−+−,3
vocab/top60,-20.57,26.1,-38.62,−+−,2
syntax/drop_funcwords,-10.6,12.15,3.02,−++,2
syntax/no_sent_bounds,0.73,11.15,4.9,0++,2
deplete/ideas_down,-26.12,-9.72,-42.96,−−−,4
ideas_up_hard,1.48,10.36,17.73,0++,1
ideas_up_v2,4.3,7.33,16.67,+++,1
deplete/lexdiv_down,0.95,-1.63,-6.93,00−,2
lexical_diversity_up_hard,3.73,8.44,15.61,+++,1
enrich/lexdiv_up,4.56,10.46,16.27,+++,1
loop/echo6w_x2,2.09,-36.11,-21.94,0−−,4
loop/echo6w_x4,-4.03,-57.68,-53.73,−−−,4
loop/phrase12w_x4,-62.91,13.36,-84.45,−+−,3
loop/tail_keep40_unit3w_drift,-34.17,-52.41,-54.62,−−−,4
loop/tail_keep20_unit3w,-55.92,-18.77,-81.69,−−−,3
loop/tail_keep40_unit3w,-35.12,-40.29,-69.91,−−−,4
loop/tail_keep60_unit3w,-26.72,-49.88,-49.93,−−−,4
loop/tail_keep60_unit1w,-14.08,-49.39,-41.39,−−−,4
surface/lowercase,1.75,3.25,-0.41,0+0,2
ngram/n2,-3.51,34.35,28.22,−++,1
ngram_3,1.33,29.18,31.07,0++,1
ngram/n4,4.52,19.85,24.66,+++,1
ngram_wide_2,-2.76,38.29,28.48,0++,1
ngram_wide_3,0.16,32.39,31.07,0++,1
shuffle_within_sentences,-12.56,39.44,-4.65,−+−,2
shuffle/words,-13.44,39.61,-5.39,−+−,2
splice/every2nd_sent,3.28,13.52,18.11,+++,1
splice/all_sents,6.37,29.24,30.93,+++,1
strip_digits,-0.25,1.95,-0.38,000,2
surface/punct_strip,2.47,18.97,9.23,0++,2
style/bulletin_abbrev,-13.69,9.68,-1.84,−+0,2
style/dialogue_interj,-20.69,-7.44,-18.18,−−−,4
style/literary_T0.7,11.08,17.38,24.34,+++,1
style/literary_T1.3,13.48,15.76,28.82,+++,1
style/literary_T1.7,11.44,12.81,27.7,+++,1
style/news_dates,3.69,10.82,9.14,+++,2
style/telegraphic,-13.37,1.77,-4.4,−0−,2
style/scientific_terms,4.0,0.7,7.62,+0+,2
style/simplified,-12.01,-3.86,-17.18,−−−,4
surface/numbered_list,-3.97,-4.95,-2.07,−−0,2
topics_down_v2,0.68,-0.72,-6.25,00−,2
enrich/topics_up_hard,10.42,17.79,29.29,+++,1
topics_up_v2,9.08,15.47,25.44,+++,1
rarity/common_words,-2.88,1.4,-2.79,000,2
rarity/rare_words,3.12,2.6,4.4,+0+,2
hapax_swap_local,-19.42,14.16,-11.68,−+−,2
hapax_swap_wide,-19.2,14.94,-12.43,−+−,2
hapax_swap_wide_50,-12.9,9.52,-7.55,−+−,2
echo_p25,-0.63,-18.76,-9.86,0−−,2
echo_p50,1.35,-29.32,-15.03,0−−,4
marker_p12,0.06,14.26,-5.36,0+−,2
marker_p3,-1.74,70.87,-18.48,0+−,2
marker_p6,-0.41,34.04,-10.49,0+−,2
context_locked,-2.41,-11.34,-7.43,0−−,2
syntax_complex,4.13,6.63,5.67,+++,2
syntax_monotone,-17.06,-3.57,-14.68,−−−,4
syntax_simple,-5.75,-4.03,-9.44,−−−,2
syntax_varied,4.37,4.18,6.99,+++,2
terms_long,-1.14,-4.93,-5.33,0−−,2
style_anaphora,-21.34,-20.67,-19.89,−−−,4
style_catechism,-8.82,-31.85,-17.69,−−−,4
style_code,-10.97,-15.48,-16.2,−−−,2
style_equations,-19.42,-19.59,-26.16,−−−,4
style_literary_apiyi,13.75,15.01,30.48,+++,1
style_record_fields,-19.55,-24.43,-15.96,−−−,4
literary_echo25,11.92,-12.55,14.94,+−+,2
literary_echo50,15.51,-24.78,9.34,+−+,2
commonize_types,-0.11,1.68,-0.08,000,2
vocab/expand100,-18.37,32.55,5.78,−++,2
vocab/expand50,-15.34,21.72,3.11,−++,2
rarify_types,-0.11,1.68,-0.08,000,2
rarify_types_50,-0.11,1.68,-0.08,000,2
lexdiv_down_more,-2.08,0.01,-13.68,00−,2
topics_down_more,-1.7,-0.63,-14.65,00−,2
inject_topic,2.15,5.21,8.42,0++,2
syn_max,2.83,6.81,14.42,0++,1
syn_none,-3.08,-5.76,-10.01,−−−,2
essay_one_topic,10.79,16.65,32.54,+++,1
script_events,-32.59,-21.23,-34.99,−−−,4
